Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2024-02-05,Shutter Island,2010,https://boxd.it/5LjKtz,5,,preciso pensar um pouco,,2024-02-04
2024-02-19,Miller's Girl,2024,https://boxd.it/5RCzPL,0.5,,"da serie de filmes: nois acaba vendo pelas mazelas do destino (aka nao assisti pq quis)

esse filme se vendeu como um filme putaria PONTO

desde o início o filme deixa claro as intenções da protagonista sobre o professor e vai construindo uma tensão sexual em cima disso. o problema é que a história do filme é extremamente rasa. sai de porra nenhuma e vai pra lugar nenhum. a personagem é doida, esse professor é um cara EXTREMAMENTE mole que a mina só falta esfregar a xereca na cara dele, e ele acha que ela só quer amizade 😅😅 ela e brincalhona

nao quero mais falar dessa merda

tem que ter sido uma lavagem de dinhero grande pro martin freeman participar duma porra dessa

e sabe o pior mano kkkkkkk kkkk kkkkkkk 🤣🤣🤣🤣 nao tem putaria meu amigo isso mesmo voce pode assistir com a sua mae do lado e o máximo de putaria que tem é duas mulher se beijando kkkkkkkkkkkkk 😅😅😅😅😅 

esse filme não sabe o que é, ele quer ser putaria mas é um drama sem pé, tem umas partes de comédias nada a ver. eu pensei que ia ir pelo menos pra um lado aprofundando a obsessão da mina pelo cara, mas puta que pariu mermao",,2024-02-18
2024-02-21,Obsessed,2009,https://boxd.it/5SIucP,2,,"kkkkkkkkkkkkkkkkkkkkkkk
os dialogos sao literalmente

""cara eu nao sei como voce é tão doida""
""eu sou mais doida que você sua doida""

certo Derek tudo bem que a mulher destruiu seu casamento sua vida e tudo mas serio que voce quer ainda essa medida protetiva???? voce é homem mesmo?????? kkkkkkkkkkkkkk ixi ta com medo de uma mulher 🤣🤣🤣🤣🤣🤣",,2024-02-20
2024-04-08,The Lobster,2015,https://boxd.it/6eCjff,5,,"eu achei esse filme simplesmente do caralho. envolve mtos bgls de relacionamento, sobre encontrar um relacionamento na solidão e a busca incessante por compatibilidade. que filme do caralho",,2024-04-07
2024-04-27,Late Night with the Devil,2023,https://boxd.it/6m1cox,3,,"sepa esperava mais. não é um terror que assusta tanto, mas ainda assim vale a pena assistir",,2024-04-27
2024-04-28,American History X,1998,https://boxd.it/6mxehR,4,,"o que esse filme consegue passar a mensagem anti racista é putaria. 

o racismo nasce de um ódio internalizado e irracional. as vezes passado de geração por geração. o pai do Derek passou isso pra ele, e ele passou isso pro Danny. 

depois do Derek ter se sentido realizado, algo que ele achava que fazia parte da sua ""missão"". ele entende sobre como o racismo não existe para líderes dos próprios neonazis, e começa a compreender como o ideal é implantado nas massas, para que fiquem cegas de que princípios que nem seus próprios ídolos realmente acreditam.

quando chegou no fim do filme, com a morte do Danny nos últimos minutos, eu confesso que fiquei um pouco confuso sobre qual mensagem o filme queria passar naquela última sequência. depois de pensar um pouco, acho que entendi:

1 - o ciclo de ódio se repete. mesmo que o Danny tenha se arrependido de alguma forma do que ele fez no início do filme, não muda que ele fez, e isso iria voltar pra ele de algum jeito. uma questão curiosa: o ódio de uma pessoa preta foi o que levou ele a adentrar o mundo dos neonazi no início do filme. o que vai fazer com que o Derek não siga o mesmo caminho agora?

2 - apesar de tudo que eu acabei de citar anteriormente, eu acho que o Derek consegue entender o quão ele destruiu a vida dele, e de toda sua família (um dos pilares do ultranacionalidade americana) por conta do eco de suas ações. o Danny só virou o que virou porque o Derek um dia já foi desse jeito.

a fotografia desse filme também é muito foda, trocando do p&b quando vai pro passado, com umas câmeras inventivas, slow motions bem utilizados.

esse filme só nao é um 5, porque eu acho que ele tem alguns problemas no roteiro meio paias. o fato do Danny aceitar tão bem a justificativa do seu irmão e desencanar do extremismo (sendo que próprio Derek tudo isso foi um processo) pra mim é algo que dava pra ter sido melhor trabalhado. e porra, o filme se passa em UM DIA. toda a mudança ocorre em UM DIA. 

mas é um filme pica. nota ✌️🤙",,2024-04-28
2024-05-02,Godzilla Minus One,2023,https://boxd.it/6oenmL,4,,"simplesmente do caralho.
eu já consumi muito tokusatsu e algo que me incomodava era que os efeitos especiais sempre eram bem merdas, e esse filme chega pra mostrar que se o Japão quiser, pode montar um CGI muito MUITO melhor que os EUA.

tirando a parte visual, a história é muito concisa, é massa d+ e tem uma redenção bem interessante por parte do protagonista.

algo que me incomoda um pouco, é a atuação. blz que é cultural e tal, mas nao me desce nem um pouco. mas como eu disse, incomoda só um pouco, depois deixa de ligar tanto pra atuação e só quer ver o kaiju levando peia 🙏.",,2024-05-01
2024-05-15,The Hunt,2012,https://boxd.it/6tBkwz,5,Yes,"uma das memórias mais vividas na minha cabeça, foi quando eu tinha 8 anos. minha mãe me perguntava se tinha dever de casa, e eu respondia que não. ela não acreditou em mim e eu acabei apanhando sem motivo, até eu insistir pra ela ir pra escola e verificar que realmente nao tinha dever de casa.

quem já presenciou o sentimento de estar falando a verdade e nao acreditarem, sabe o quanto é paia, e principalmente se é só a SUA palavra que sustenta a sua verdade, é pior ainda. pensa numa situação absurda fictícia, faz com que todos de uma cidade pequena acreditem nela e você tem um filme de suspense e drama fudido igual <i>jagten.</i>

é um dos poucos que assisto e fico com um amargo na garganta, como em situações que tu quer chorar de raiva, mas não pode explodir ali, então internamente voce vai sentindo seu corpo remoendo fisicamente.

acho que bem sinceramente, eu nao aguentaria uma semana na pele desse maluco, mesmo com tudo contra ele, ele sequer pensa em se matar porque sabe que isso faria que a pulga atrás da orelha da glr sobre a culpa que ele podia sentir, por exemplo.",,2024-05-14
2024-06-20,Whiplash,2014,https://boxd.it/6Ia8SJ,3,,"a ambição pode destruir alguém. quando o desejo de ser o melhor é mais externo do que interno, voce acaba se destruindo (ironicamente, de dentro pra fora)

um conceito interessante que esse filme também aborda muito bem é de abandonar os seus sonhos, como voce se sente vazio depois de ter um pedaço arrancado de si mesmo, e não importa onde você va, até nas coisas mais bestas voce vai enxergar um pedaço do teu sonho ali.

o problema é somente o subdesenvolvimento de algumas tramas (tipo do cara e a namorada dele). se voce nao vai usar, se nao vai fazer diferença pra história, entao tu CORTA AS CENAS",,2024-06-20
2024-06-24,Juliana contra o Jambeiro do Diabo Pelo Coração de João Batista,2012,https://boxd.it/6JMSSv,3.5,,"achei interessante, dava pra ser trabalhado num longa tranquilo e talvez sendo um longa ia dar pra trabalhar melhor a história.

os atores são bons, a história é boa, mas diálogos deixam um pouco a desejar. apesar disso, é um curta que mistura terror sobrenatural com um pouco de cultura paraense folclórica, vale a pena assistir 🤙",,2024-06-24
